City,Year,Points
Brooklyn,1989,0
Roselle,1955,874
Chicago,1954,100
Chicago,2022,180
Aurora,1990,51
Chicago,2009,289
Bolingbrook,2022,146
Chicago,1994,18822
Decatur,2022,502
Rockford,1970,2239
Zeigler,1951,1445
Chicago,1996,159
Chicago,1950,336
Lockport,2010,211
Chicago,2020,6824
Chicago,1991,649
Chicago,1991,5400
Peru,1952,1445
Rockford,2024,7360
Chicago,2019,23165
Chicago,1980,187
Chicago,2008,15647
Chicago,1993,6389
Chicago,1981,1442
Waukegan,1989,4423
Chicago,1998,61
Chicago,1986,3575
Evanston,2008,4120
Peoria,2005,253
Chicago,2008,165
Chicago,1990,15
Chicago,1986,6
Chicago,2011,907
South Bend,1981,1779
Franklin,1991,744
Fort Wayne,1951,1040
Otterbein,1958,137
Gary,1947,65
Richmond,2024,4253
Yorktown,1952,557
Gary,1974,15358
Indianapolis,1954,3232
New Castle,1988,6168
West Baden,1992,21791
Muncie,1968,723
East Chicago,1954,3187
East Chicago,1976,687
East Chicago,1987,11517
Indianapolis,1982,5
Huntingburg,1985,6890
Mishawaka,2022,84
Evansville,2006,7826
South Bend,1996,6
Indianapolis,1979,15279
Muncie,1975,3997
Gary,2016,5
Gary,1982,976
Fort Wayne,1975,160
Grant County,1952,127
Chesterton,1947,296
Terre Haute,1973,9012
Hammond,1954,1818
Indianapolis,1975,64
Indianapolis,1970,580
Muncie,1990,7
Tipton,1977,601
Indianapolis,1950,142
Indianapolis,2021,1994
Evansville,1973,14
Gary,1994,1710
Lagoda,1949,89
Gary,2024,5660
Gary,1995,4799
Fort Wayne,1992,13
Indianapolis,2024,13868
Indianapolis,1998,938
Elkhart,1991,79
Indianapolis,2022,165
Terre Haute,1991,213
Fort Wayne,1950,25
Fort Wayne,1949,289
Gary,2017,48
Gary,1995,46
Fishers,2024,6295
Indianapolis,2024,12687
Fort Wayne,2018,3
Indianapolis,2007,5094
Indianapolis,2023,9545
Jasper,1955,3234
Marion,1968,79
Valparaiso,2015,379
Gary,2010,270
Berne,1969,964
South Bend,2024,2389
South Bend,2019,48
Greenwood,2024,540
Bloomington,2013,3003
Richmond,1947,15
Indianapolis,2012,114
Huntington,1953,1705
Indianapolis,1976,369
Indianapolis,1976,6588
Elkhart,2003,15347
Indianapolis,1975,80
South Bend,1997,285
Washington,1950,802
Gary,1950,634
Gary,1969,24
New Albany,2023,650
South Bend,1977,832
Muncie,1989,6684
Indianapolis,2020,7765
Terre Haute,1963,4204
Kokomo,1974,5560
Elberfeld,1953,232
Richmond,1951,3203
Fort Wayne,1974,2418
Petersburg,1964,11947
Elkhart,1963,196
Fort Wayne,1987,5259
South Bend,1983,12
East Chicago,1963,236
Gary,1972,1090
Evansville,2006,3056
Anderson,2021,39
Chesterton,2016,227
Franklin,1976,9169
Logansport,1955,2
Hammond,1975,21
Indianapolis,2018,2333
Fort Wayne,2012,9724
Indianapolis,2002,2071
East Chicago,2021,4743
South Bend,1968,27
Lebanon,1975,3330
South Bend,2006,2622
Muncie,1991,158
Rockville,1974,73
Whiting,1950,44
Hobart,1970,1935
Indianapolis,2008,192
Indianapolis,1975,61
Yorktown,1950,3
Pennville,1958,1105
Martinsville,1953,595
Martinsville,1947,94
Martinsville,1947,73
West Lafayette,2018,54
Fort Wayne,2024,6585
Fort Wayne,2019,1697
Terre Haute,2024,285
Indianapolis,2024,4199
Bloomington,1996,340
Indianapolis,1979,202
East Chicago,1952,68
Terre Haute,1995,4603
Marion,2018,18578
Gary,1952,86
Kokomo,1969,1125
Marion,1954,23
La Porte,1967,951
Nappanee,1947,0
Washington,1951,150
Fort Wayne,1950,404
Gary,2005,14234
Gary,2021,1804
Fort Wayne,1950,932
Evansville,1968,208
Gary,1950,616
Delphi,1951,165
Bedford,1975,968
Indianapolis,1950,107
Terre Haute,1990,0
Martinsville,1990,4141
LaPorte,1996,6652
Evansville,2024,83
Hammond,1950,346
Bloomington,1970,438
Roachdale,1949,1
Fort Wayne,1951,581
Greencastle,1980,5009
Indianapolis,2020,169
Indianapolis,2021,10061
Indianapolis,2018,217
Indianapolis,2022,0
Anderson,1989,928
Holland,1970,1191
Gary,1954,1859
Marion,1977,319
Bedford,1955,282
Indianapolis,1977,15079
Indianapolis,1977,14232
Rushville,1947,173
Muncie,2008,7147
South Bend,2024,452
Anderson,1983,5424
Fort Wayne,2024,19
Colfax,1949,215
Indianapolis,1978,792
Richmond,1972,148
Indianapolis,2024,319
Indianapolis,1992,4034
Indianapolis,1991,10981
Washington,2024,4376
Ames,2024,12796
Fort Madison,2010,1319
Des Moines,2002,3270
Orange City,2018,5359
Des Moines,1988,2225
Cedar Rapids,1978,1490
Iowa City,1988,1140
Washington,1997,177
Ames,1976,1739
Des Moines,1950,176
Cedar Falls,2024,406
Des Moines,1992,3952
Sioux City,2016,9594
Cedar Rapids,1996,3520
Dubuque,1982,4602
Hampton,2008,5690
Emmetsburg,1999,645
Iowa City,1996,37
Cedar Rapids,2024,2148
Cedar Rapids,2024,376
Oskaloosa,2010,186
Cedar Rapids,2018,12
Postville,1997,153
Cedar Rapids,2020,59
Grand View,1950,429
Muscatine,2023,70
Ames,2013,19
Lawrence,1988,13910
Kansas City,1979,9407
Hays,2019,300
Pratt,1956,641
Winfield,1955,2455
Burlington,2024,960
Spearville,2022,3675
Wichita,2024,510
Wichita,1997,1014
Kansas City,1991,8110
Wichita,2012,3747
Kansas City,1973,4733
Overland Park,2007,133
Kansas City,1977,2408
Wichita,2008,1919
Independence,1993,1647
Junction City,1999,739
Chanute,2009,2
Arkansas City,1985,7809
Manhattan,2023,9
Kansas City,1975,7666
Kansas City,1963,226
Fort Scott,1950,1125
Wamego,1954,13
Liberal,1997,89
Wichita,1970,731
Pittsburg,1993,1451
Overland Park,2022,975
Yale,1950,92
Kansas City,1973,435
Liberal,2006,41
Sublette,1949,275
Manhattan,1950,1323
Meriden,2005,33
Leavenworth,2007,169
Wichita,2024,1162
Wichita,2024,854
Kansas City,2014,5593
Harper,1987,11916
Wichita,1999,13
Topeka,1972,289
Louisville,2008,7357
Covington,1974,443
Hopkinsville,1978,4434
Louisville,1973,166
Henderson,1996,73
Sturgis,1972,5085
Hardinsburg,1979,5622
Hardinsburg,1951,2006
Monticello,1961,183
Louisville,1992,648
Corbin,1959,25
Louisville,1978,4
Hopkinsville,2009,2878
Williamsport,1966,1696
Warren County,1973,7011
Bowling Green,2000,9731
Owensboro,1972,1432
Marion,1947,238
Burgin,1958,6721
Hazard,1975,7666
Lawrenceburg,1976,106
Newport,1983,13516
Neon,1963,573
Louisville,1979,342
Vanceburg,1962,1195
Fulton,1953,5
Louisville,1987,1132
Birmingham,1954,8003
Lexington,1980,1040
Horse Cave,1972,65
Louisville,1991,12391
Louisville,2006,52
Owensboro,1970,14870
Louisville,1971,358
Lexington,1976,4145
Columbia,1960,368
Campbellsville,1976,8743
Owingsville,1962,1244
Louisville,2022,2
Owensboro,1982,1470
Birmingham,1952,1084
Owenton,1969,271
Hopkinsville,2022,6
Louisville,2005,14551
Lexington,1981,2
Louisville,2022,0
Morganfield,1978,6
Harlan,1952,1428
Louisville,1974,64
Lexington,1991,171
Owensboro,1970,1351
Louisville,1971,309
Lexington,2019,2997
Louisville,1984,1030
Louisville,2022,525
Scottsville,1978,2698
Berea,1949,53
Louisville,1984,4
Maysville,2021,1597
Flat Lick,1947,181
Lexington,1988,1187
Louisville,1995,167
Covington,1953,1
Midway,1952,661
Henshaw,1953,848
Beaver Dam,1951,926
Louisville,2007,1874
Louisville,1959,262
London,1950,22
Russellville,1979,5088
Russellville,1973,397
Corydon,1964,8378
Trigg County,1970,1228
Lexington,1958,7633
Richmond,1951,789
Wickliffe,1961,898
Louisville,2022,9337
Louisville,2024,10136
Louisville,2023,97
Corbin,1964,6120
Louisville,1971,91
Paris,1999,11
Farmington,1972,8750
Louisville,2006,165
Campbellsville,1973,428
Princeton,1976,4097
Louisville,2013,277
Hazard,1971,2097
Louisville,2021,58
Scottsville,1957,4161
Louisville,2002,3354
Newport,1964,1237
Murray,1972,3530
Owingsville,1963,175
Logan County,1947,15
Bowling Green,2024,453
Lexington,1983,95
Covington,1971,1020
Louisville,1976,1051
Louisville,1970,341
Covington,1963,34
Bedford,1949,91
Louisville,1972,704
Caldwell,1950,1198
Paris,1957,407
Newport,1962,200
Lexington,1990,3071
Louisville,1962,3091
Louisville,1981,10624
Webster County,1947,45
Covington,1955,2838
Murray,1976,4347
Louisville,2024,4285
Central City,1955,175
Russellville,1998,128
Louisville,1999,265
Hopkinsville,2004,3738
Louisville,1980,194
Louisville,1972,237
New Orleans,2022,9259
New Orleans,2024,23
Baton Rouge,2017,6575
Monroe,2000,9223
Lafayette,2001,3455
Baton Rouge,1998,299
Zachary,1956,5379
New Orleans,1958,1
Zachary,2005,509
Pineville,2018,584
Iowa,2005,527
New Orleans,1990,37
Reserve,2024,449
Crowley,1947,256
Baton Rouge,1985,351
Baton Rouge,1980,6663
Zachary,1950,70
New Orleans,1951,181
Lafayette,1968,77
Baton Rouge,2015,4111
Thibodaux,2000,1261
Baker,2024,22
Baton Rouge,2004,1081
New Orleans,1998,22195
Mamou,2013,3946
Shreveport,1999,16401
Baton Rouge,1998,4783
Baton Rouge,1996,90
New Orleans,2024,9940
New Orleans,2022,87
Minden,1969,1500
Baton Rouge,2022,3656
New Orleans,2015,9855
Lake Charles,2020,34
Baton Rouge,1979,232
Monroe,1995,68
Rayville,1984,27313
Monroe,1995,7011
Ruston,2024,2557
Shreveport,1999,275
Jonesboro,1960,2237
New Orleans,2002,2370
New Orleans,1979,3829
Shreveport,2014,20042
New Orleans,2024,43
New Orleans,2004,8817
New Orleans,2012,27
Morgan City,1994,204
New Orleans,2006,3473
Natchitoches,1990,13892
Baton Rouge,2024,1366
Tallulah,1977,11366
Winnsboro,2015,488
Alexandria,1976,10672
New Orleans,1986,44
Bastrop,1980,3
New Orleans,2001,566
Baton Rouge,2010,7
Lake Charles,1981,12
Pineville,2014,15579
New Orleans,2007,773
Morgan City,2017,148
Bastrop,1977,13895
Summerfield,2004,36928
Baton Rouge,2019,998
Baton Rouge,2024,451
Sailes,1952,14
Bastrop,1949,176
Grambling,2017,287
Monroe,2022,14536
New Orleans,2022,8402
Minden,1970,5730
Monroe,1990,10291
Monroe,1985,150
Shreveport,2022,10
New Orleans,2024,7790
New Orleans,2004,4921
Lafayette,1994,715
Shreveport,1997,23334
Gretna,2022,5036
New Orleans,1951,767
Baton Rouge,1965,20880
Baton Rouge,2000,5153
Baton Rouge,1975,9746
DeQuincy,1993,17
New Orleans,2013,1092
New Orleans,1983,334
New Orleans,2002,1732
Hico,1974,12183
Bossier City,2002,400
New Orleans,1998,3161
DeRidder,1979,184
Monroe,1969,14522
Baton Rouge,2016,787
Baton Rouge,2019,71
Baton Rouge,1973,8
Vidalia,1993,5162
Winnsboro,1966,4930
Minden,1969,59
New Orleans,1978,3107
Tallulah,1982,11038
New Orleans,1969,858
Delcambre,1974,6414
Shreveport,2016,1189
Baton Rouge,2024,51
Baton Rouge,1989,2
West Monroe,2001,51
Ferriday,1980,315
Shreveport,2009,4582
Kentwood,1975,42
Baton Rouge,2024,4529
Shreveport,2008,144
Baton Rouge,2015,3093
Baton Rouge,2017,5750
Homer,2012,1054
Shreveport,1994,2083
New Orleans,1995,1078
Collinston,2003,41
Sorrento,1999,9784
Columbia,1979,7709
Shreveport,2024,1575
New Orleans,2000,190
Pineville,1988,19
Bernice,1994,13623
Monroe,1982,2824
New Orleans,2024,14225
New Orleans,1980,14
Monroe,2006,4
York,2024,3981
Bangor,1996,3697
Baltimore,2021,110
Baltimore,2018,77
Baltimore,1991,1501
Baltimore,2023,7625
Baltimore,1984,188
Silver Spring,2006,637
Cheverly,2019,7568
Baltimore,1981,8
Baltimore,2001,6858
Mount Airy,2010,1340
Baltimore,1999,130
Frederick,1975,19
Havre De Grace,1984,347
Baltimore,1989,3131
Towson,2024,4
Baltimore,2024,4039
Baltimore,1994,56
Baltimore,2008,15635
Baltimore,2011,4
Clinton,2019,4133
Baltimore,1992,7470
Baltimore,2018,729
Baltimore,2009,3678
Baltimore,2015,344
Upper Marlboro,2024,132
Baltimore,1990,22
Rockville,2012,67
Baltimore,2005,27
Baltimore,2013,119
Baltimore,1999,3704
Hyattsville,2003,6439
Silver Spring,2008,10446
Upper Marlboro,2024,2595
Baltimore,1950,3
Temple Hills,2020,757
Silver Spring,2020,1692
Baltimore,2000,67
Cheverly,2024,14241
Silver Spring,2024,4422
Gaithersburg,2024,524
Baltimore,1988,65
Baltimore,2024,693
Fort Washington,2018,9349
Rockville,1984,694
Baltimore,1993,44
Clinton,2023,3
Baltimore,2020,0
Clinton,2017,6977
Baltimore,2023,2384
Baltimore,1991,66
Baltimore,1993,7902
Silver Spring,2003,2177
Capitol Heights,2007,0
Landover,2023,1825
Gaithersburg,2020,108
Baltimore,1992,131
Frederick,2006,472
Baltimore,2017,3470
Baltimore,2017,24
Silver Spring,2023,8503
Lanham,2017,34
Baltimore,2018,18
Baltimore,2024,104
Havre de Grace,2024,3978
Hagerstown,2000,8094
Baltimore,2013,83
Baltimore,1964,10068
Fort Washington,2002,1388
Baltimore,2016,1031
Berlin,1976,660
Davidsonville,2024,4
Cheverly,1986,873
Baltimore,2013,278
Oxon Hill,2007,1516
Baltimore,2023,29
Baltimore,1987,4302
Odenton,2024,579
Columbia,2021,0
Baltimore,1997,7508
Chestertown,1993,417
Baltimore,2001,4166
Baltimore,1987,13
Brookline,2015,709
Boston,2003,1837
Lynn,2010,2
Worcester,1991,8
Boston,2004,8901
Boston,2024,2113
Springfield,2005,5376
Boston,1979,234
Boston,2007,25
Worcester,2006,483
Boston,2024,3705
Brookline,1980,672
Hamilton,2023,4040
Arlington,2024,3363
New Bedford,1947,10
Boston,2001,394
Springfield,2002,7038
Winthrop,1975,1127
Boston,2011,3
Worcester,1963,53
Salem,2002,5059
Bernardston,2003,30
Fall River,2001,224
Cambridge,1975,2062
Westfield,1949,224
Boston,2000,114
Framingham,1975,3470
Boston,1994,13790
Somerville,1951,591
Norwood,2022,1175
Boston,1982,3285
Boston,1975,282
Worcester,1986,157
Roxbury,2020,2433
Lawrence,2024,3262
Boston,2009,22
Malden,2023,3338
Boston,1970,50
Franklin,2024,20
Roxbury,2022,915
Roslindale,2009,6
Worcester,1949,1181
Weymouth,2019,31
Lynn,1959,910
Boston,2000,4
Salem,2023,1685
Boston,1968,33
Detroit,2011,169
Detroit,1969,308
Detroit,2002,2542
Detroit,2016,6
Detroit,2000,7320
Detroit,1957,28
Birmingham,2022,6
Ann Arbor,2024,41
Birmingham,2014,8408
Flint,2011,3204
Lansing,1989,706
Grand Rapids,2024,14529
Kalamazoo,1953,1763
Saginaw,2021,9
Flint,2024,5342
Detroit,1975,6847
Detroit,2008,9870
Grand Rapids,2024,81
Detroit,1966,324
Detroit,1999,3243
Pontiac,2024,195
Flint,1992,11
Grand Rapids,2005,8
Benton Harbor,2020,8463
Flint,2006,609
Ypsilanti,1987,169
Benton Harbor,1994,204
Linwood,2018,4
Kalamazoo,2004,1654
Detroit,2009,9
Detroit,2018,3432
Detroit,1997,3620
Detroit,1977,11778
Muskegon,2019,454
Detroit,1986,9710
Detroit,2010,217
Saginaw,1980,316
Detroit,1974,14053
Detroit,2005,2815
Detroit,2004,253
Detroit,2015,1571
Royal Oak,1983,961
Hamtramck,1975,1201
Detroit,2022,3
Detroit,2006,5116
Ann Arbor,1981,980
Flint,2009,26
Flint,1977,248
Detroit,2018,223
Lansing,2004,13
Detroit,2006,2782
Lansing,2023,3776
Detroit,1981,60
Flint,1980,2550
Detroit,1991,676
Detroit,1986,26595
Detroit,1989,25
Flint,1998,3257
Saginaw,2024,7052
Detroit,2015,6059
Shelby,1983,2443
Ann Arbor,1950,10
Detroit,1976,273
Detroit,2010,149
Saginaw,2005,1139
Grand Rapids,2005,163
Detroit,1968,2175
Detroit,1982,193
Detroit,2024,950
Detroit,2017,575
Detroit,1979,1313
Milwaukee,1949,15
Battle Creek,2003,23
Detroit,2018,6
Detroit,1969,136
Pontiac,2024,1135
Detroit,2006,262
Flint,1996,12
Detroit,2003,32
Lansing,1996,17707
Jackson,1973,2633
Detroit,1989,129
Wyoming,2016,8208
Detroit,1999,1699
Warren,1985,432
Traverse City,1976,407
Flint,2024,8246
Detroit,1985,2376
Highland Park,1968,2229
Detroit,2006,6745
Kalamazoo,2024,581
Cassopolis,1984,875
Wayne,2003,9518
Romulus,1997,12131
Sterling Heights,2019,2
Saginaw,1999,1685
Traverse City,2002,10925
Southfield,2016,97
Flint,1994,55
Detroit,2003,293
Saginaw,2015,9325
Jackson,1955,12
Pontiac,2019,2
Detroit,1981,17
Port Huron,1947,21
Detroit,1992,4030
Flint,2024,6907
Detroit,1970,2351
Detroit,1975,934
Benton Harbor,2005,510
Romulus,2001,7175
Detroit,1980,5211
Grand Rapids,2024,3747
Muskegon,1976,10898
Southfield,2008,1930
Detroit,1979,595
Detroit,1996,194
Flint,2011,7628
Detroit,1969,792
Highland Park,1993,531
Ann Arbor,1987,4899
Detroit,1999,851
Saginaw,2015,14644
Saginaw,2009,265
Saginaw,2001,0
Detroit,1979,409
Flint,2004,1938
Detroit,2002,2196
Detroit,2024,67
Detroit,2007,13220
Detroit,1987,11657
Inkster,2003,0
Pontiac,1988,464
Pontiac,2012,84
Benton Harbor,1948,56
Grand Rapids,1997,331
St. Joseph,1985,52
Jackson,1997,19
Birmingham,1991,517
Bloomfield Hills,1947,20
Detroit,1980,11785
Detroit,1996,2356
Flint,1987,138
Highland Park,2005,13430
Pontiac,1960,1167
Grand Rapids,1958,2012
Grand Rapids,1997,3
Flint,1993,2
Detroit,2023,997
Detroit,2007,5889
Detroit,1976,77
Grand Rapids,2024,1355
Hamtramck,1981,13383
Detroit,1977,3353
Detroit,1973,2193
Detroit,2005,2085
Detroit,1989,8868
Southfield,2019,998
Lansing,2022,1795
Grand Rapids,2001,6984
Kalamazoo,1990,8729
Lansing,1992,3106
Detroit,2022,101
Detroit,2008,17182
Benton Harbor,2006,49
Paw Paw,2016,68
River Rouge,1969,208
Detroit,2022,55
Flint,2018,219
Burnsville,2018,1050
Minneapolis,2017,2421
Minneapolis,1969,1707
Minneapolis,2004,11
Lake City,1994,4599
St. Paul,2024,30
Minneapolis,1951,1447
Duluth,1969,331
Hopkins,2024,1452
Minneapolis,1994,1494
Robbinsdale,1992,48
Minneapolis,2001,314
Owatonna,1947,0
Stillwater,1988,343
St. Paul,1955,326
Hibbing,1961,5597
Minneapolis,2010,3536
St. Paul,2022,132
Hill City,1953,2669
Minneapolis,2024,1357
Minneapolis,1956,34
Minneapolis,2017,5350
Rochester,2024,32
Excelsior,1952,302
Cottage Grove,2001,283
Minneapolis,1951,1306
Gonvick,1953,2888
Apple Valley,2024,2153
Burnsville,2024,4420
Minneapolis,1947,12
Minneapolis,1994,1084
Fulda,1980,16
Minneapolis,1989,1495
Long Lake,2019,2395
St. Paul,2019,0
New Ulm,1998,3854
Bloomington,1993,310
Lakeville,2020,6
Minneapolis,1995,113
Hibbing,1993,17335
St. Paul,1988,1320
St. Paul,1971,158
Minneapolis,2022,0
St. Louis Park,2024,3206
Hopkins,2024,869
Dawson,1998,18
Virginia,1951,1811
Melrose,1987,8940
Minneapolis,1992,3397
Thief River Falls,1970,1032
Minneapolis,1950,22
Monticello,2013,2293
Edina,1995,332
Minneapolis,2024,891
St. Paul,1953,913
McIntosh,1950,266
Minneapolis,2024,360
Duluth,1957,2800
St. Paul,2024,2031
Minneapolis,2022,13
Minneapolis,2006,560
Minneapolis,2018,423
Winona,1950,143
Minneapolis,1994,18
Minneapolis,2014,0
Slayton,1999,0
St. Cloud,2018,461
North Robbinsdale,2023,119
Gulfport,2001,8553
Clarksdale,2015,640
Kosciusko,1983,2197
Picayune,2010,1453
Pascagoula,1997,166
Okolona,1970,1132
Utica,1980,440
Jackson,2009,140
Madison County,1985,1482
Madison,2022,2
Yazoo City,1963,411
McComb,2007,343
Biloxi,2019,1913
Jackson,2004,42
Macon,1977,21
Jackson,1985,2335
Houston,1993,6520
Flora,1979,2553
Jackson,1997,264
Jackson,2012,7309
Aberdeen,1970,2047
Southaven,2023,1818
Ethel,1962,1548
Biloxi,2011,555
Gulfport,1984,522
Jackson,2017,14858
Starkville,2024,1902
Greenwood,1995,35
Canton,1977,1337
Greenwood,1996,1553
Jackson,1988,1125
Pascagoula,1999,423
McComb,1980,5301
Jackson,2002,20
Anguilla,1973,4396
Jackson,2008,5212
Pascagoula,2003,553
Silver City,1983,17111
Meridian,2022,4656
Greenville,1990,296
Utica,2010,7956
Yazoo City,1975,243
Monticello,2018,14343
Yazoo City,1984,224
Tylertown,1986,4369
Carthage,1982,11200
Jackson,2012,59
Scooba,1989,1015
Jackson,1972,1506
Collins,1996,1262
Indianola,1983,10303
Necaise Crossing,1975,3474
Canton,1986,1816
Hattiesburg,2003,12367
Summit,1976,3541
Quitman,2011,12227
Meridian,2002,10266
Rosedale,1976,2658
Columbus,1968,643
Ruleville,1953,877
Kiln,1968,321
Meridian,1990,39
Jackson,1985,819
Jackson,1980,40
Carrolton,1978,3209
Cleveland,2018,509
Starkville,2014,5273
Laurel,1993,508
Flowood,2022,170
Vicksburg,1988,470
Thornton,1972,848
New Albany,1974,241
Jackson,2007,472
Jackson,2001,2882
Macon,1976,84
Hattiesburg,1990,14607
Columbus,1970,874
Rolling Fork,1993,5904
New Albany,1981,25
Columbus,1994,409
Bethlehem,1975,18831
Jackson,1977,413
Natchez,1969,150
Jackson,1977,2860
Pearl,1999,716
Rolling Fork,1979,3901
Crawford,2005,10483
Greenwood,1980,4086
Canton,2022,88
Aberdeen,1996,40
Jackson,2016,10759
Meridian,1971,2216
Starkville,2022,27
St. Louis,2012,88
St. Louis,1968,252
Sedalia,1979,63
St. Louis,1955,3
St. Louis,2024,16355
Independence,1957,8
St. Louis,1996,2199
Crystal City,1977,9217
Grandview,2024,7990
Ironton,2001,1988
West Plains,1969,76
St. Louis,2022,246
Boonville,1969,332
St. Louis,1969,5780
Boonville,1952,9
East St. Louis,2004,8
Kansas City,1986,1638
Kansas City,2024,176
Poplar Bluff,2013,57
Poplar Bluff,2016,2881
St. Charles,2014,265
Kansas City,1990,1440
Kansas City,2024,958
St. Louis,2023,77
Kansas City,2000,0
St. Louis,2012,10242
St. Louis,1978,370
Forest Green,1947,165
Webster Groves,1964,4128
St. Louis,2017,11232
St. Louis,2024,697
Clarkton,1969,1179
Mexico,2009,4710
St. Louis,1959,11234
St. Louis,1997,9
Poplar Bluff,1949,410
St. Louis,2021,760
St. Louis,2022,5015
Powell,1948,0
St. Louis,1971,649
St. Louis,1975,5594
Waynesville,2022,76
Sedalia,1998,198
St. Louis,1972,1230
St. Louis,1965,571
Kansas City,1949,81
St. Louis,1970,882
Kansas City,2005,8017
Columbia,2024,137
St. Louis,2024,5419
Kansas City,2018,751
St. Louis,1953,337
Kansas City,2024,773
St. Louis,1977,100
Charlestown,1953,817
St. Louis,1957,575
Bonne Terre,1949,617
Kansas City,2017,3250
Kansas City,2010,2213
St. Louis,1950,115
St. Louis,1970,1103
Kansas City,2024,3027
Kirksville,1978,30
St. Louis,2023,22
Leonard,1957,10
St. Louis,1988,5323
St. Louis,2024,11852
St. Louis,1987,510
Columbia,2015,76
Springfield,2021,4451
Kansas City,1978,402
Kansas City,2024,382
St. Louis,2005,1954
St. Louis,1981,14399
Puxico,1961,1826
St. Louis,1976,2959
St. Louis,2008,555
Miles City,1950,276
Billings,1976,31
Billings,1982,293
Deer Lodge,1980,5428
Great Falls,2010,58
Missoula,1997,3425
Havre,1949,253
Missoula,1974,4081
Glendive,2010,1200
Libby,1997,98
Omaha,1971,12964
Hastings,1947,0
Lincoln,1968,197
Grand Island,1991,30
Lincoln,2005,2944
Omaha,1993,837
Lincoln,1995,135
Omaha,1993,162
Grand Island,1977,193
Omaha,2021,86
Omaha,2005,285
Bushnell,1951,3480
Lincoln,1993,44
Omaha,2021,160
Omaha,2024,528
Omaha,2000,1547
Las Vegas,2002,5497
Las Vegas,2011,2061
Las Vegas,2021,18
Las Vegas,2024,2196
Las Vegas,2024,2606
Las Vegas,2010,9912
Las Vegas,2014,19
Las Vegas,2008,4017
Las Vegas,2012,4
Las Vegas,2017,35
Las Vegas,2024,11
Las Vegas,2024,215
Las Vegas,1980,357
Las Vegas,2024,227
Las Vegas,2017,4344
Concord,2016,4632
Jersey City,1997,2186
Newark,2024,7513
Willingboro,2011,2334
Newark,1971,6328
Belle Mead,2019,174
Hackensack,2024,254
Elizabeth,1980,25279
Elizabeth,1951,22
Lakewood,1969,440
Cherry Hill,2012,14698
Toms River,1993,34
Jersey City,1962,117
New Brunswick,1950,342
Newark,2002,15
East Orange,1996,131
Newark,2019,136
New Brunswick,1978,1928
Long Branch,2019,1592
Newark,1997,3130
New Brunswick,2024,7131
Glen Ridge,2003,4313
Woodbury,1965,2505
Kearney,1952,2037
Plainsboro,2014,4822
Teaneck,1951,1708
Hoboken,1952,492
Teaneck,1995,7994
Fanwood,2011,81
Irvington,2017,63
Plainfield,2015,1138
Trenton,2018,6
Newark,2022,7
Orange,2016,998
Trenton,1982,464
Pitman,2002,79
Orange,2003,1903
Atlantic City,1994,131
Atlantic City,1973,5449
Atlantic City,1958,1496
Union City,1950,253
Newark,2019,5430
Union City,1975,2790
Atlantic City,1982,7314
Jersey City,1976,331
Newark,2017,7729
East Orange,1980,334
Elizabeth,2002,7232
Trenton,1998,209
Newark,1995,736
Newark,1947,2
Jersey City,1976,5251
Trenton,1996,767
Merchantville,1972,113
Raritan,1972,103
Wildwood,2023,28
Paterson,2024,20
Orange,2014,13237
Union City,1965,12194
Caldwell,2017,5987
Waldick,1948,65
Hoboken,1948,2
Newark,1962,320
Rutherford,1948,418
Trenton,1991,7206
Linwood,2012,5
Morristown,2022,231
Jersey City,1998,1032
Plainfield,2024,5877
Hackensack,1950,31
Elizabeth,2005,42
Trenton,2017,3353
Trenton,1955,1
Elizabeth,1969,735
Union City,1948,262
Newark,1968,14
Irvington,1953,124
Perth Amboy,1981,118
Seacaucus,2023,129
Livingston,2005,0
Livingston,2009,5342
Newark,1949,135
Newark,1949,13
Newark,1978,1845
Riverside,1974,4458
Paulsboro,2024,14
Jersey City,1953,2388
Atlantic City,2024,1723
Morristown,1998,739
Camden,1987,17
Jersey City,2001,817
Camden,1975,1074
Newark,2024,3
Harrington Park,2024,78
Newark,1979,98
Hillside,2018,83
Somerville,2000,5118
Morristown,2013,7860
West Orange,1955,1471
Jersey City,1968,470
Jersey City,1951,23
Jersey City,1988,3355
Newark,2011,28596
New Brunswick,1978,255
Union City,1960,2382
River Edge,1985,13099
Newark,1975,181
Freehold,1996,3283
Teaneck,2008,84
Trenton,2022,13
Orange,2015,1523
Jersey City,1958,0
Princeton,2023,373
Newark,1958,1785
Asbury Park,2024,3561
Jersey City,2000,380
Trenton,2019,198
Jersey City,1992,383
Trenton,2000,6683
Atlantic City,1997,130
Newark,1990,457
West Orange,1955,2152
Newark,1949,103
Maplewood,1952,115
Paterson,1997,1
Newark,1956,5859
Millstone Township,2014,0
Freehold,2020,12148
Jersey City,1984,2505
Camden,1950,852
Union City,1954,178
Perth Amboy,1982,7868
Hoboken,2014,174
Paterson,2010,9454
Camden,1992,2566
Camden,2016,5210
Edison,2024,13121
Glen Ridge,1991,12142
Glen Ridge,1950,826
Neptune,1974,6918
Camden,2007,964
Camden,1991,215
New Brunswick,2018,17
Paterson,2012,35
Jersey City,1972,122
Teaneck,2018,14034
Neptune,1989,254
Newark,2007,5642
Plainfield,2003,714
Englewood,1984,2930
Elizabeth,1982,132
Piscataway,2024,2
Newark,1972,3590
Jersey City,1994,19
Hobbs,1975,11012
